Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2015,08,10,10:05:25,36.5326,71.2147,224,5.9,"33km WSW of Ashkasham, Afghanistan",1439201125
2015,01,10,19:32:00,14.7709,120.2456,59,5.9,"5km NW of Mabayo, Philippines",1420918320
2015,07,07,07:01:42,-13.329,-111.6323,10,5.9,"Central East Pacific Rise",1436252502
2015,07,26,07:05:10,-9.2585,112.6695,52,5.9,"94km S of Krajan Tambakrejo, Indonesia",1437894310
2015,07,29,00:10:24,8.2309,-77.3152,12,5.9,"30km S of Acandi, Colombia",1438128624
2015,09,09,07:05:44,-49.5321,-116.3317,10,5.9,"Southern East Pacific Rise",1441782344
2015,09,16,23:38:01,-31.7842,-72.0222,12.5,5.9,"82km WSW of Illapel, Chile",1442446681
2015,09,17,12:14:34,-32.9149,-71.6064,10,5.9,"13km NNW of Vina del Mar, Chile",1442492074
2015,09,17,13:32:26,-32.1432,-72.3779,10,5.9,"113km WNW of La Ligua, Chile",1442496746
2015,09,28,15:28:05,-23.8028,-66.6126,219,5.9,"54km NNW of San Antonio de los Cobres, Argentina",1443454085
2020,12,29,23:34:57,-0.7687,-21.111,10,5.8,"central Mid-Atlantic Ridge",1609284897
2020,12,14,19:35:58,72.2441,0.764,10,5.8,"Norwegian Sea",1607974558
2020,10,28,14:53:10,-29.3296,-71.214,43.8,5.8,"63 km N of La Serena, Chile",1603896790
2020,09,20,22:13:15,9.2614,126.6799,9,5.8,"53 km E of Cortes, Philippines",1600639995
2020,10,02,10:17:33,-62.3735,-58.2326,10,5.8,"South Shetland Islands",1601633853
2020,09,21,13:37:15,-4.0426,-104.3789,10,5.8,"central East Pacific Rise",1600695435
2020,08,28,02:24:18,-54.7928,1.5112,10,5.8,"Bouvet Island region",1598581458
2020,09,09,07:18:40,4.2064,126.6394,18,5.8,"185 km SE of Sarangani, Philippines",1599635920
2020,08,04,19:17:51,13.3483,-92.0069,5.5,5.8,"105 km S of Champerico, Guatemala",1596568671
2020,08,15,06:40:37,-22.7561,-112.31,10,5.8,"Easter Island region",1597473637
2020,08,18,04:40:32,-36.3566,52.2782,10,5.8,"Southwest Indian Ridge",1597725632
2020,07,27,17:32:45,9.0127,126.2682,42.6,5.8,"3 km N of La Paz, Philippines",1595871165
2020,04,17,16:30:48,-23.7004,69.4374,10,5.8,"Mid-Indian Ridge",1587141048
2020,02,23,05:53:01,38.4465,44.4168,10,5.8,"30km SE of Saray, Turkey",1582437181
2020,07,15,21:39:40,7.4645,-81.91,6.6,5.8,"69 km WSW of Río Grande, Panama",1594849180
2020,06,12,02:53:22,-42.9925,41.7836,10,5.8,"Prince Edward Islands region",1591930402
2020,06,24,17:40:49,36.4468,-117.9752,4.7,5.8,"18km SSE of Lone Pine, CA",1593020449
2020,01,06,10:32:18,17.8675,-66.8193,6,5.8,"9km SE of Indios, Puerto Rico",1578306738
2020,01,17,06:37:52,-11.6371,-13.782,10,5.8,"Ascension Island region",1579243072
2020,01,29,23:46:56,0.7136,126.3292,27,5.8,"115km W of Kota Ternate, Indonesia",1580341616
2019,12,23,15:47:56,13.764,-92.8614,10,5.8,"109km SW of Ocos, Guatemala",1577116076
2019,06,03,05:57:09,0.378,97.7223,19,5.8,"191km SW of Sibolga, Indonesia",1559541429
2019,06,17,14:55:44,28.4056,104.9333,6,5.8,"19km S of Changning, China",1560783344
2019,08,05,00:40:46,1.0417,-27.8703,10,5.8,"Central Mid-Atlantic Ridge",1564965646
2019,08,07,21:28:03,24.4782,121.9301,20.8,5.8,"15km SSE of Su'ao, Taiwan",1565213283
2019,08,08,00:45:26,36.5272,70.0571,226,5.8,"18km ESE of Farkhar, Afghanistan",1565225126
2019,07,12,20:42:55,9.3281,126.043,14.3,5.8,"7km E of Cantilan, Philippines",1562964175
2019,07,14,09:43:46,-0.8042,127.7214,10,5.8,"60km N of Laiwui, Indonesia",1563097426
2019,07,14,10:26:58,-0.4773,127.8482,10,5.8,"98km NNE of Laiwui, Indonesia",1563100018
2019,11,14,18:45:39,1.4326,126.3608,27.2,5.8,"131km E of Bitung, Indonesia",1573757139
2019,02,02,11:01:38,-2.7308,100.3019,10,5.8,"139km WSW of Sungaipenuh, Indonesia",1549105298
2019,02,04,17:45:48,-2.4081,-79.8348,70,5.8,"23km S of Duran, Ecuador",1549302348
2019,05,31,11:57:24,18.7604,-107.1447,10,5.8,"237km WSW of Tomatlan, Mexico",1559303844
2019,04,05,18:46:42,1.4513,-85.2664,10,5.8,"Off the coast of Ecuador",1554490002
2019,03,06,00:13:00,8.5425,126.9168,16,5.8,"66km ENE of Hinatuan, Philippines",1551831180
2019,03,30,06:27:23,-9.6924,66.5343,8,5.8,"Mid-Indian Ridge",1553927243
2019,07,02,09:44:33,-1.5188,67.6058,10,5.8,"Carlsberg Ridge",1562060673
2018,12,16,14:26:19,-23.3226,112.4979,10,5.8,"206km NW of Carnarvon, Australia",1544970379
2018,12,23,19:32:22,30.4079,87.62,10,5.8,"113km WSW of Jiajuedibu, China",1545593542
2018,09,07,02:39:17,-28.8696,-69.9459,93.1,5.8,"85km ESE of Vallenar, Chile",1536287957
2018,09,27,10:25:47,-58.1849,-9.5902,10,5.8,"East of the South Sandwich Islands",1538043947
2018,09,28,10:14:20,-0.0175,119.7549,10,5.8,"97km N of Palu, Indonesia",1538129660
2018,09,28,10:25:04,-1.0465,119.9346,10,5.8,"18km SSE of Palu, Indonesia",1538130304
2018,01,09,00:05:54,1.6755,-90.8224,10,5.8,"272km N of Puerto Ayora, Ecuador",1515456354
2018,01,16,15:03:53,10.9283,-86.3469,22,5.8,"63km SW of San Juan del Sur, Nicaragua",1516115033
2018,01,25,01:15:58,8.2527,91.7665,10,5.8,"173km W of Mohean, India",1516842958
2018,01,25,16:39:43,40.4556,-126.3332,8.9,5.8,"175km W of Ferndale, California",1516898383
2018,08,03,18:50:53,-0.8711,-21.9958,10,5.8,"Central Mid-Atlantic Ridge",1533322253
2018,08,19,15:16:35,-8.3511,116.5565,10,5.8,"2km ENE of Sembalunlawang, Indonesia",1534691795
2018,08,22,13:27:48,10.6593,-62.9288,108,5.8,"14km NW of Yaguaraparo, Venezuela",1534944468
2018,11,01,19:30:20,-58.0742,-25.2059,29,5.8,"131km NE of Bristol Island, South Sandwich Islands",1541100620
2018,11,29,20:21:44,0.2267,96.9976,9.9,5.8,"258km SSE of Sinabang, Indonesia",1543522904
2018,10,05,14:59:44,-5.6911,-11.5253,10,5.8,"Ascension Island region",1538751584
2018,10,07,00:10:04,7.6608,-37.7083,10,5.8,"Central Mid-Atlantic Ridge",1538871004
2018,10,21,01:40:37,-29.5356,60.7521,10,5.8,"Southwest Indian Ridge",1540086037
2018,10,23,04:34:58,24.1153,122.6027,30,5.8,"56km SW of Yonakuni, Japan",1540269298
2018,10,29,20:17:22,-57.5496,-66.304,10,5.8,"Drake Passage",1540844242
2018,10,29,23:26:08,-4.5739,-105.9149,10,5.8,"Central East Pacific Rise",1540855568
2018,07,19,13:31:53,17.9318,-97.7158,48.5,5.8,"15km NNE of Huajuapan de Leon, Mexico",1532007113
2018,07,22,10:07:27,34.5909,46.1661,12,5.8,"31km ENE of Sarpol-e Zahab, Iran",1532254047
2018,04,21,19:44:17,-48.9461,123.5911,10,5.8,"Western Indian-Antarctic Ridge",1524339857
2018,02,09,14:05:48,18.9311,-104.6522,13,5.8,"32km S of San Patricio, Mexico",1518185148
2018,02,17,00:36:52,16.1557,-97.8665,3.5,5.8,"15km SSW of Santiago Jamiltepec, Mexico",1518827812
2018,06,18,07:09:41,-29.8815,-111.9572,10,5.8,"Easter Island region",1529305781
2017,07,06,06:30:17,46.8811,-112.5753,12.2,5.8,"11km SE of Lincoln, Montana",1499322617
2017,07,10,01:41:48,10.9893,124.784,7.1,5.8,"5km NW of San Pedro, Philippines",1499650908
2017,07,27,12:08:38,-3.5583,126.0847,15.6,5.8,"53km WNW of Leksula, Indonesia",1501157318
2017,09,10,03:07:22,15.3973,-94.5323,29,5.8,"93km S of San Francisco del Mar, Mexico",1505012842
2017,09,23,10:38:05,15.4897,-94.4287,53.8,5.8,"85km SW of Paredon, Mexico",1506163085
2017,09,24,10:06:11,15.3135,-94.1702,47.4,5.8,"86km SSW of Paredon, Mexico",1506247571
2017,08,05,00:30:41,6.1147,125.415,76,5.8,"6km NNE of Suyan, Philippines",1501893041
2017,08,12,12:54:13,-30.2412,-72.1598,9,5.8,"84km WSW of Coquimbo, Chile",1502542453
2017,08,13,16:51:24,-10.7214,-74.5662,32,5.8,"59km N of Satipo, Peru",1502643084
2017,01,06,06:30:35,-22.3176,-67.795,172,5.8,"79km NNE of San Pedro de Atacama, Chile",1483684235
2017,01,11,21:58:18,-22.821,-69.8033,72,5.8,"90km SSE of Tocopilla, Chile",1484171898
2017,01,17,09:08:02,19.8529,-76.594,11,5.8,"44km S of Guisa, Cuba",1484644082
2017,06,15,11:42:16,-55.428,-124.7575,10,5.8,"Southern East Pacific Rise",1497526936
2017,04,10,10:38:47,5.6754,127.2013,13,5.8,"136km SE of Pondaguitan, Philippines",1491820727
2017,04,11,21:21:00,7.6766,124.8119,8.3,5.8,"8km N of Osias, Philippines",1491945660
2017,04,28,16:05:57,-33.1297,-71.7998,27,5.8,"18km WSW of Valparaiso, Chile",1493395557
2017,05,05,05:09:35,39.4789,71.4223,10,5.8,"28km NNW of Karakenja, Tajikistan",1493960975
2017,02,03,19:54:22,15.0701,-60.5254,44,5.8,"59km ENE of Sainte-Marie, Martinique",1486151662
2017,11,10,12:01:33,-41.4667,-84.1899,10,5.8,"West Chile Rise",1510315293
2017,10,23,08:32:32,-52.3439,16.7811,10,5.8,"Southwest of Africa",1508747552
2017,10,28,16:13:54,86.8752,54.1515,10,5.8,"North of Franz Josef Land",1509207234
2017,10,28,16:16:06,86.8972,53.2109,10,5.8,"North of Franz Josef Land",1509207366
2017,10,31,11:31:39,-3.8261,127.7209,4,5.8,"48km SW of Hila, Indonesia",1509449499
2016,08,19,17:33:40,-55.215,-32.0659,3.4,5.8,"South Georgia Island region",1471628020
2016,08,23,19:40:46,-7.2131,122.5391,520.3,5.8,"139km N of Nebe, Indonesia",1471981246
2016,06,02,02:23:05,18.0217,-105.8338,10,5.8,"178km SW of San Patricio, Mexico",1464834185
2016,06,05,05:51:11,-29.3424,-71.8594,28,5.8,"84km NW of Coquimbo, Chile",1465105871
2016,06,23,21:05:30,23.694,123.3704,10,5.8,"93km SSE of Yonakuni, Japan",1466715930
2016,07,19,05:18:40,-30.2523,-71.9722,8,5.8,"69km WSW of Coquimbo, Chile",1468905520
2016,07,25,08:58:30,-49.4848,126.2657,10,5.8,"Western Indian-Antarctic Ridge",1469437110
2016,09,03,12:02:44,36.4251,-96.9291,5.6,5.8,"14km NW of Pawnee, Oklahoma",1472904164
2016,09,04,02:38:12,8.3989,125.8874,16,5.8,"7km SE of Causwagan, Philippines",1472956692
2016,09,12,06:51:53,-28.7552,-112.3053,10,5.8,"Easter Island region",1473663113
2016,12,11,14:33:12,-9.1237,-109.8492,10,5.8,"Central East Pacific Rise",1481466792
