Longitude,Latitude,Value
-121.5,74.5,0.0420600393659487
-117.5,74.5,0.024778304237663
-116.5,74.5,0.0046605012328639
-114.5,74.5,0.0100118040748305
-113.5,74.5,0.0459081419540792
-112.5,74.5,0.0544284260865431
-111.5,74.5,0.0394286112721043
-110.5,74.5,0.0156647842973465
-109.5,74.5,0.003405857920126
-99.5,74.5,0.0008154853442873
-98.5,74.5,0.0150088209105542
-97.5,74.5,0.0049465669406335
-96.5,74.5,0.0008491870938198
-95.5,74.5,0.0232353459133561
-94.5,74.5,0.0740497752657969
-93.5,74.5,0.0404484614952189
-92.5,74.5,0.015192153402726
-91.5,74.5,0.0314127024228225
-90.5,74.5,0.0322533892298916
-89.5,74.5,0.0329207963675653
-88.5,74.5,0.0301165970446629
-87.5,74.5,0.0482582459669414
-86.5,74.5,0.0483860089263798
-85.5,74.5,0.048119849063086
-84.5,74.5,0.0474273889552099
-83.5,74.5,0.0221278122233132
-82.5,74.5,0.0506647235545247
-81.5,74.5,0.0588055478238545
-80.5,74.5,0.0367025343118989
-79.5,74.5,0.00399643147717
55.5,74.5,0.0018580953726456
56.5,74.5,0.0075928782508993
57.5,74.5,0.0079569086938669
58.5,74.5,0.0059679459510903
59.5,74.5,0.0037555452641644
60.5,74.5,0.0006944543298457
85.5,74.5,0.0034264373336443
86.5,74.5,0.0118681297712865
87.5,74.5,0.0604414801599377
88.5,74.5,0.07549276198671
89.5,74.5,0.1079785006670926
90.5,74.5,0.125207948881884
91.5,74.5,0.1246123298348267
92.5,74.5,0.1272172681294037
93.5,74.5,0.1304178528397799
94.5,74.5,0.127023619347391
95.5,74.5,0.1257561164565496
96.5,74.5,0.1238458791477283
97.5,74.5,0.1052744157727987
98.5,74.5,0.0548509009714187
99.5,74.5,0.0633002474401525
100.5,74.5,0.0314962527549738
101.5,74.5,0.0711575046361868
102.5,74.5,0.0989373971385344
103.5,74.5,0.1027950228045458
104.5,74.5,0.0943665791837858
105.5,74.5,0.1094667992347259
106.5,74.5,0.1135840005726391
107.5,74.5,0.1061079262392654
108.5,74.5,0.1285928253966446
109.5,74.5,0.1052583140034067
110.5,74.5,0.0624909140480642
111.5,74.5,0.035073306306985
112.5,74.5,0.0117008548761435
113.5,74.5,0.0007087571293283
137.5,74.5,0.0004158470435054
138.5,74.5,0.0101402919144754
139.5,74.5,0.0069395045096371
140.5,74.5,0.0050617609073193
142.5,74.5,0.0029632153791347
143.5,74.5,0.0001056868710087
147.5,74.5,0.0006812574500469
148.5,74.5,0.0078750188738386
149.5,74.5,0.0078679915092615
150.5,74.5,0.0029097672242982
-124.5,73.5,0.0394131367252821
-123.5,73.5,0.0947485727996569
-122.5,73.5,0.1014911918511588
-121.5,73.5,0.0933167417009656
-120.5,73.5,0.0417308519117461
-119.5,73.5,0.010001689100578
-118.5,73.5,0.042304752901056
-117.5,73.5,0.091389539697224
-116.5,73.5,0.0816068052583862
-115.5,73.5,0.0471145858305599
-114.5,73.5,0.03972305724608
-113.5,73.5,0.000680029376129
-112.5,73.5,0.0028376813349129
-110.5,73.5,0.0073934203931693
-108.5,73.5,0.0016882571255889
-107.5,73.5,0.0232841084098214
-106.5,73.5,0.0365691629126122
-105.5,73.5,0.0023143432826184
-102.5,73.5,0.012860569893234
-101.5,73.5,0.016864729272375
-100.5,73.5,0.0722351539075936
